age,income,employment_type,loan_amount,tenure_months,emi,credit_history_months,active_loans,past_delinquency,new_device_flag,kyc_mismatch,recent_txn_velocity,emi_income_ratio,loan_income_ratio,default
59,60141,salaried,57897,3,19825,7,4,0,1,0,26,0.32963977562158964,0.9626772078975454,0
49,35942,self-employed,85599,9,9855,19,2,0,0,0,28,0.27419530812836457,2.3815591425271214,1
35,66564,salaried,9233,6,1937,32,2,0,0,0,47,0.029103012587502395,0.13870785420657683,0
28,61474,self-employed,85952,3,29194,7,1,0,0,0,47,0.4749053575418569,1.398172320995725,1
41,31310,self-employed,79652,9,9443,49,0,0,1,0,33,0.3016006300483011,2.5439454039708362,1
59,23333,salaried,15405,12,1790,10,4,0,0,0,42,0.07672781390076977,0.6602196569662957,0
39,39211,self-employed,93268,6,16401,22,2,1,0,0,35,0.41827270607239303,2.3785765361578037,1
43,57299,salaried,29164,3,10298,29,4,0,1,0,32,0.1797353665610693,0.508971073718115,0
31,32647,salaried,73582,12,6522,45,0,0,0,0,43,0.19977587325634966,2.2538577069562793,1
31,53621,self-employed,85645,6,14950,39,2,0,0,0,4,0.27881062723404665,1.5972181389344826,1
44,58126,self-employed,52837,6,9528,19,2,0,0,0,11,0.1639185890564289,0.9089986365644854,0
56,28389,student,34414,12,3241,16,0,0,1,0,48,0.11417217447621489,1.2122038183167447,0
44,29859,salaried,25208,3,9103,24,0,0,0,0,42,0.30488640196311173,0.8442279622379947,0
23,50689,salaried,78603,12,7007,26,2,1,0,0,40,0.13825002466896338,1.5506630064931552,1
42,42277,self-employed,76596,6,13282,43,1,0,0,0,16,0.3141636433109857,1.8117346971158779,1
22,29709,salaried,60259,12,5352,46,1,0,0,0,45,0.1801805137877828,2.0283026562362703,1
44,34717,self-employed,37767,3,12570,40,3,0,1,0,9,0.362070738144479,1.0878440233619326,1
50,38942,salaried,66129,3,22744,24,1,0,1,0,20,0.5840473226137339,1.6981318109167698,1
58,16527,self-employed,72637,3,24571,9,1,1,0,0,31,1.4867050609029846,4.395001692072247,1
22,51484,self-employed,7273,12,1146,24,1,0,0,0,26,0.022266688221703353,0.14126541562761416,0
41,32819,self-employed,35781,9,4544,41,4,0,0,0,40,0.13847635927170437,1.0902320956127327,0
53,10000,self-employed,35087,12,3590,45,2,0,1,0,10,0.359015814625633,3.5087,1
32,39641,salaried,51481,9,6015,33,3,0,1,0,39,0.15174161474791445,1.2986500124849116,1
42,28876,salaried,37456,6,6633,33,0,1,0,0,12,0.2297091041836727,1.297113201030972,1
45,65332,salaried,69277,3,23660,2,3,1,0,1,36,0.362155650954024,1.0603784824648943,1
47,31218,salaried,69145,3,23739,47,2,0,0,0,40,0.7604372112880022,2.214885029707067,1
48,23535,salaried,20012,3,7306,9,2,0,0,0,2,0.31043108824306276,0.8502954230874543,0
36,47618,student,53494,9,6244,5,4,0,0,0,21,0.13112781721005992,1.1233753581180803,0
35,30093,salaried,32808,12,3342,4,4,1,1,0,12,0.11107166026020943,1.0902098297339082,1
